,REGION,TECHNOLOGY,FUEL,YEAR,value,energy_MWh,DiscountFactor,EnergyDiscounted_MWh
24539,Cuba,PWRHYD02,ELC01,2046,46.998393934630485,46998.39393463048,0.35894236464095275,16869.714653223276
24540,Cuba,PWRHYD02,ELC01,2047,46.998393934630485,46998.39393463048,0.3418498710866216,16066.394907831691
24541,Cuba,PWRHYD02,ELC01,2048,28.074630584419328,28074.630584419327,0.3255713057967825,9140.294139131687
24542,Cuba,PWRHYD02,ELC01,2049,32.09799803105457,32097.998031054572,0.31006791028265,9952.559173745705
24543,Cuba,PWRHYD02,ELC01,2050,39.751690099623595,39751.69009962359,0.29530277169776187,11738.784266089326
16448,Cuba,PWRNG01,ELC01,2019,1703.63978538618,1703639.78538618,1.3400956406250002,2283040.249591331
16449,Cuba,PWRNG01,ELC01,2020,1714.356628763476,1714356.628763476,1.2762815625000004,2188001.756840482
16450,Cuba,PWRNG01,ELC01,2021,1700.7864553818492,1700786.4553818493,1.2155062500000002,2067316.5664319843
16451,Cuba,PWRNG01,ELC01,2022,1580.8688558560425,1580868.8558560426,1.1576250000000001,1830053.3092603516
16452,Cuba,PWRNG01,ELC01,2023,1769.662566676891,1769662.566676891,1.1025,1951052.9797612724
16453,Cuba,PWRNG01,ELC01,2024,1603.144667646676,1603144.667646676,1.05,1683301.9010290098
16454,Cuba,PWRNG01,ELC01,2025,1965.7597259519969,1965759.7259519969,1.0,1965759.7259519969
16455,Cuba,PWRNG01,ELC01,2026,1965.759725951998,1965759.725951998,0.9523809523809523,1872152.1199542838
16456,Cuba,PWRNG01,ELC01,2027,1965.7597259519985,1965759.7259519985,0.9070294784580498,1783002.0190040802
16457,Cuba,PWRNG01,ELC01,2028,1965.759725951998,1965759.725951998,0.863837598531476,1698097.1609562663
16458,Cuba,PWRNG01,ELC01,2029,1965.759725951998,1965759.725951998,0.8227024747918819,1617235.3913869204
16459,Cuba,PWRNG01,ELC01,2030,1965.759725951998,1965759.725951998,0.7835261664684589,1540224.1822732573
16460,Cuba,PWRNG01,ELC01,2031,1965.759725951998,1965759.725951998,0.7462153966366274,1466880.1735935782
16461,Cuba,PWRNG01,ELC01,2032,1965.759725951998,1965759.725951998,0.7106813301301214,1397028.7367557888
16462,Cuba,PWRNG01,ELC01,2033,1965.7597259519985,1965759.7259519985,0.676839362028687,1330503.5588150371
16463,Cuba,PWRNG01,ELC01,2034,1965.7597259519985,1965759.7259519985,0.6446089162177971,1267146.2464905116
16464,Cuba,PWRNG01,ELC01,2035,1965.759725951998,1965759.725951998,0.6139132535407591,1206805.9490385822
16465,Cuba,PWRNG01,ELC01,2036,1965.759725951998,1965759.725951998,0.5846792890864373,1149338.999084364
16466,Cuba,PWRNG01,ELC01,2037,1965.7597259519964,1965759.7259519964,0.5568374181775593,1094608.570556536
